price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,state,city,locality,latitude,longitude
7342622,2321,3,2,4,yes,no,yes,no,yes,2,yes,semi-furnished,Odisha,Cuttack,Link Road,20.4506,85.8379
1900928,1401,2,2,2,no,no,no,yes,yes,1,no,unfurnished,Himachal Pradesh,Dharamshala,McLeod Ganj,32.2605,76.275
2270526,1995,3,1,1,yes,no,no,no,yes,1,yes,semi-furnished,West Bengal,Siliguri,Pradhan Nagar,26.6945,88.3528
1373437,1410,2,3,1,no,yes,no,no,yes,1,yes,furnished,Tamil Nadu,Madurai,KK Nagar,9.9646,78.1132
2686326,1943,3,2,3,yes,no,no,yes,yes,1,yes,semi-furnished,Madhya Pradesh,Gwalior,Maharaj Bada,26.2116,78.1564
2205245,1355,2,2,1,yes,no,no,yes,yes,1,no,furnished,Rajasthan,Kota,Vigyan Nagar,25.2208,75.8337
5949850,2865,4,1,3,yes,no,no,no,yes,2,no,furnished,Haryana,Panchkula,Sector 5,30.6521,76.8704
2612928,1574,3,2,3,yes,no,yes,no,yes,3,no,unfurnished,Assam,Dibrugarh,Graham Bazaar,27.4842,94.946
2613542,1455,2,2,1,yes,yes,no,no,yes,1,yes,unfurnished,Chhattisgarh,Bhilai,Supela,21.2151,81.4131
3872981,2554,4,2,2,yes,no,yes,no,no,1,no,furnished,Assam,Jorhat,Raja Ali,26.7892,94.1687
7847525,3154,4,1,3,yes,no,no,yes,yes,0,no,unfurnished,Chhattisgarh,Bhilai,Sector 9,21.253,81.3669
4207676,1340,3,3,2,yes,no,no,no,no,1,no,unfurnished,Himachal Pradesh,Dharamshala,Kangra,32.1788,76.3431
20133710,6504,5,1,1,yes,no,no,no,yes,2,no,unfurnished,Chhattisgarh,Raipur,Civil Lines,21.2041,81.5883
1728295,1386,2,2,2,yes,no,no,no,yes,1,no,furnished,Odisha,Bhubaneswar,Jaydev Vihar,20.3162,85.8237
11655506,3451,4,2,3,yes,no,no,yes,no,1,yes,semi-furnished,Punjab,Ludhiana,Civil Lines,30.867,75.8402
2590701,940,2,2,3,yes,no,no,yes,yes,2,no,furnished,Maharashtra,Pune,Wakad,18.5548,73.8743
5784443,2009,3,2,1,yes,no,no,no,yes,2,yes,furnished,Kerala,Thrissur,Ayyanthole,10.5362,76.259
17681439,2625,4,3,3,yes,yes,no,yes,yes,2,yes,semi-furnished,Gujarat,Ahmedabad,Prahlad Nagar,23.0035,72.6014
3087477,1395,2,2,1,yes,yes,no,no,yes,1,no,unfurnished,Maharashtra,Pune,Aundh,18.5162,73.8418
3276010,1772,3,1,2,yes,no,no,no,yes,1,yes,furnished,Uttar Pradesh,Lucknow,Indira Nagar,26.8602,80.9834
3126624,2470,4,2,1,yes,no,no,no,yes,1,no,semi-furnished,Madhya Pradesh,Jabalpur,Wright Town,23.1675,79.9714
9526429,3193,4,2,1,no,no,no,yes,yes,2,no,unfurnished,Chhattisgarh,Raipur,Byron Bazar,21.2258,81.6649
6049244,1685,3,2,2,yes,no,no,yes,yes,0,no,semi-furnished,Tamil Nadu,Chennai,Tambaram,13.0389,80.2246
21648528,2249,4,1,1,no,no,no,no,yes,0,no,semi-furnished,Maharashtra,Mumbai,Bandra West,19.0394,72.8306
3246930,1572,3,1,2,yes,no,no,no,yes,1,no,furnished,Himachal Pradesh,Manali,Vashisht,32.2897,77.1918
26754913,7362,5,2,2,yes,no,yes,no,no,3,no,furnished,Bihar,Bhagalpur,Nathnagar,25.2643,86.9629
1403431,1389,2,1,1,yes,no,no,yes,yes,2,yes,furnished,Haryana,Faridabad,NIT,28.4011,77.2778
19484562,2490,3,2,2,yes,no,no,yes,no,1,no,semi-furnished,Maharashtra,Mumbai,Malad,19.0286,72.8618
4315975,1424,3,3,2,yes,no,no,no,yes,2,no,semi-furnished,Andhra Pradesh,Vijayawada,MG Road,16.4906,80.6077
11497563,2206,4,3,2,yes,no,yes,no,no,2,yes,furnished,Uttar Pradesh,Lucknow,Indira Nagar,26.7997,80.8973
2341872,1902,3,2,3,yes,no,yes,no,yes,2,yes,semi-furnished,Jharkhand,Ranchi,Harmu,23.3799,85.2608
2630253,2396,3,2,2,yes,no,yes,no,yes,2,yes,furnished,Jharkhand,Ranchi,Harmu,23.3398,85.2984
6714808,2152,3,2,1,yes,no,no,no,no,1,yes,semi-furnished,Jammu & Kashmir,Srinagar,Jawahar Nagar,34.0448,74.826
2694329,1304,3,3,1,no,no,no,no,yes,2,no,semi-furnished,Kerala,Kochi,MG Road,9.9789,76.242
3932258,1531,3,1,2,no,no,no,yes,yes,1,no,furnished,Punjab,Chandigarh,Sector 9,30.7138,76.7632
17174459,2581,4,2,2,yes,yes,no,yes,no,2,yes,unfurnished,Delhi,New Delhi,Greater Kailash,28.6334,77.1846
1576327,1050,2,2,2,yes,yes,no,yes,no,2,no,unfurnished,Himachal Pradesh,Manali,Old Manali,32.2648,77.1745
4328340,2306,3,2,2,yes,yes,no,no,yes,1,yes,semi-furnished,Himachal Pradesh,Dharamshala,Dharamshala,32.174,76.3088
4837757,1792,3,2,2,yes,no,yes,yes,yes,2,no,unfurnished,Delhi,North Delhi,Civil Lines,28.7464,77.1048
8519165,1747,3,1,2,no,no,no,yes,yes,1,no,furnished,Rajasthan,Jaipur,C Scheme,26.9504,75.8308
6663914,3466,4,2,1,yes,no,no,no,yes,2,yes,unfurnished,Bihar,Bhagalpur,Nathnagar,25.2385,86.9545
5522770,2096,4,1,3,no,no,no,no,yes,3,no,unfurnished,Chhattisgarh,Bilaspur,Vyapar Vihar,22.0992,82.136
9538237,3442,4,4,1,yes,no,no,yes,yes,0,no,furnished,Uttarakhand,Haldwani,Bhotia Parao,29.2417,79.5093
3237932,1449,2,2,1,yes,no,yes,yes,no,0,yes,semi-furnished,Maharashtra,Pune,Aundh,18.5569,73.8222
4373149,1735,3,3,3,yes,no,no,yes,yes,3,yes,furnished,Uttarakhand,Dehradun,Rajpur Road,30.358,78.0222
2002927,1345,3,1,3,yes,no,no,yes,yes,2,no,furnished,Kerala,Kozhikode,Medical College,11.2239,75.8302
539610,938,2,3,2,yes,yes,no,yes,yes,1,no,furnished,Punjab,Jalandhar,Urban Estate,31.286,75.6225
26865898,3232,4,4,3,no,no,no,yes,yes,1,no,semi-furnished,Telangana,Hyderabad,Banjara Hills,17.3525,78.4707
7910992,2880,4,1,1,yes,yes,no,no,yes,2,yes,semi-furnished,Bihar,Patna,Boring Road,25.5758,85.1795
4465276,3429,4,2,3,yes,no,no,yes,yes,3,no,semi-furnished,Uttarakhand,Haldwani,Rampur Road,29.1687,79.4961
19222797,5030,5,3,2,yes,no,no,no,yes,3,no,semi-furnished,Uttar Pradesh,Noida,Sector 62,28.5047,77.3735
2974063,1802,3,3,3,no,yes,no,no,yes,3,yes,furnished,Andhra Pradesh,Visakhapatnam,Dwaraka Nagar,17.6513,83.1938
4005312,1852,3,3,3,no,no,no,no,yes,2,yes,furnished,Haryana,Faridabad,Old Faridabad,28.4168,77.3025
10048403,1495,3,2,3,no,no,no,no,yes,1,no,semi-furnished,Maharashtra,Mumbai,Borivali,19.0651,72.8809
8954359,2266,4,2,2,yes,no,no,yes,no,2,no,furnished,Rajasthan,Jaipur,Vaishali Nagar,26.9457,75.7859
3673966,1777,3,2,2,yes,yes,no,no,yes,0,yes,unfurnished,Madhya Pradesh,Bhopal,MP Nagar,23.292,77.3966
4231280,1274,3,1,2,yes,no,yes,yes,yes,1,yes,semi-furnished,Jharkhand,Dhanbad,Bank More,23.7738,86.3929
5329119,1664,3,3,1,no,yes,yes,no,yes,1,no,semi-furnished,Gujarat,Ahmedabad,Thaltej,23.0492,72.5353
2664497,1227,2,2,2,yes,no,no,yes,no,2,no,unfurnished,Haryana,Panchkula,Sector 5,30.6509,76.8919
863302,1169,2,2,2,yes,no,no,no,yes,1,yes,semi-furnished,Gujarat,Vadodara,Alkapuri,22.3419,73.2036
1241101,1430,2,4,4,no,no,no,no,yes,0,no,unfurnished,Uttar Pradesh,Lucknow,Indira Nagar,26.7976,80.9522
3610776,1900,3,2,3,yes,no,no,no,no,1,yes,furnished,Maharashtra,Nashik,Pathardi Phata,19.953,73.7936
40725073,7606,5,2,3,no,no,no,no,no,2,yes,furnished,Gujarat,Rajkot,Kalawad Road,22.3416,70.7763
12464516,3195,4,2,3,no,no,no,yes,no,1,no,unfurnished,Delhi,East Delhi,Mayur Vihar,28.6213,77.3045
1343745,1272,2,2,1,no,no,no,yes,no,2,yes,furnished,Haryana,Panchkula,Sector 20,30.6821,76.9018
4818629,2569,4,3,4,yes,yes,no,no,yes,2,yes,semi-furnished,Telangana,Warangal,Nakkalagutta,17.9429,79.6046
4010553,2436,3,2,4,yes,no,no,yes,no,0,no,semi-furnished,Jammu & Kashmir,Jammu,Residency Road,32.7108,74.8668
2659172,1459,2,3,2,yes,no,no,no,yes,1,no,semi-furnished,Punjab,Ludhiana,BRS Nagar,30.8608,75.8172
22272458,7817,5,2,3,yes,yes,no,no,yes,1,yes,furnished,Rajasthan,Udaipur,Sector 11,24.5666,73.7543
3310768,812,2,2,2,yes,no,no,yes,yes,1,no,unfurnished,Karnataka,Bangalore,Koramangala,12.932,77.557
2325801,1262,2,2,3,yes,no,no,yes,yes,1,no,semi-furnished,Jharkhand,Ranchi,Lalpur,23.3132,85.265
1137189,1041,2,1,2,yes,yes,no,yes,yes,0,yes,semi-furnished,Karnataka,Mangalore,Kankanady,12.9467,74.8103
7463414,2284,3,1,2,yes,no,no,no,yes,2,no,unfurnished,Uttar Pradesh,Agra,Sanjay Place,27.192,78.0551
9000572,2059,3,3,3,yes,no,yes,no,yes,1,no,furnished,West Bengal,Kolkata,Behala,22.5398,88.3251
4666772,1953,3,4,2,no,no,yes,yes,yes,3,no,unfurnished,Assam,Jorhat,Gar Ali,26.7142,94.187
5841547,2225,3,2,2,yes,yes,yes,no,yes,2,no,furnished,Uttar Pradesh,Kanpur,Swaroop Nagar,26.4877,80.3111
20809652,6620,5,3,2,no,yes,no,no,yes,1,no,semi-furnished,Madhya Pradesh,Gwalior,Thatipur,26.248,78.1482
6242911,2350,3,2,2,yes,no,no,no,yes,1,yes,unfurnished,Himachal Pradesh,Shimla,Sanjauli,31.0859,77.2097
2685019,1457,2,2,3,no,no,no,no,yes,3,no,unfurnished,Haryana,Gurugram,Golf Course Road,28.5026,77.0393
3251088,1490,2,1,3,yes,yes,no,yes,yes,1,no,furnished,Odisha,Cuttack,Badambadi,20.4203,85.8589
41283491,3617,5,4,3,yes,no,no,yes,no,1,no,unfurnished,Haryana,Gurugram,Golf Course Road,28.4335,77.0196
4816725,2104,3,4,3,no,yes,no,yes,yes,2,yes,furnished,Uttar Pradesh,Noida,Sector 76,28.5024,77.356
9017861,2043,3,2,2,no,no,no,yes,no,1,no,unfurnished,West Bengal,Kolkata,Behala,22.6213,88.4089
1758582,1845,3,3,3,yes,no,no,yes,no,2,yes,furnished,Assam,Jorhat,AT Road,26.7611,94.2393
2529959,1164,2,1,3,yes,no,no,yes,yes,2,no,unfurnished,Himachal Pradesh,Dharamshala,Dharamshala,32.2079,76.3188
1200440,1462,2,1,2,yes,no,no,no,yes,2,yes,unfurnished,Gujarat,Rajkot,University Road,22.2764,70.7528
4313328,1342,3,3,1,yes,no,yes,no,yes,2,no,semi-furnished,Madhya Pradesh,Jabalpur,Napier Town,23.1774,79.9387
4277280,2307,3,1,3,yes,no,no,yes,yes,2,yes,unfurnished,Maharashtra,Nagpur,Sadar,21.1956,79.0923
4023739,3121,4,1,2,yes,no,no,yes,yes,1,yes,semi-furnished,Kerala,Kozhikode,Westhill,11.2383,75.8289
5218249,2496,4,2,1,no,no,no,no,yes,0,yes,semi-furnished,Bihar,Patna,Exhibition Road,25.6289,85.1545
2112765,1490,2,1,2,yes,no,no,no,yes,2,yes,furnished,Chhattisgarh,Raipur,Byron Bazar,21.256,81.622
15789654,2378,3,4,3,yes,no,no,yes,yes,0,no,unfurnished,Delhi,New Delhi,Saket,28.6319,77.2138
1664370,891,2,2,2,yes,yes,no,no,yes,2,no,furnished,Punjab,Chandigarh,Sector 34,30.7108,76.7494
4642441,1884,3,2,1,no,no,no,no,yes,1,no,unfurnished,Maharashtra,Thane,Majiwada,19.2577,72.9811
867039,1288,2,2,4,yes,yes,no,yes,yes,1,no,furnished,Telangana,Warangal,Kazipet,17.9772,79.6367
11726473,2767,4,1,3,yes,no,no,yes,no,0,yes,unfurnished,Jharkhand,Jamshedpur,Kadma,22.8151,86.2175
3072831,1381,3,2,3,yes,yes,yes,no,yes,0,yes,semi-furnished,Himachal Pradesh,Manali,Old Manali,32.2836,77.1694
1846955,1000,2,2,1,yes,no,no,yes,yes,2,no,semi-furnished,West Bengal,Siliguri,Hill Cart Road,26.7194,88.355
7548725,1369,3,2,2,yes,yes,no,no,yes,2,yes,furnished,Maharashtra,Pune,Aundh,18.4871,73.8567
4268420,1473,3,2,2,no,no,no,no,yes,1,no,unfurnished,Haryana,Gurugram,New Gurugram,28.4284,76.9899
5588302,2334,3,3,3,yes,no,no,no,no,0,yes,unfurnished,Delhi,East Delhi,Mayur Vihar,28.6614,77.3083
3124373,1411,2,2,1,no,no,yes,yes,yes,3,no,furnished,Rajasthan,Kota,Mahaveer Nagar,25.177,75.8304
13609707,3696,4,2,3,yes,yes,no,no,yes,2,yes,unfurnished,Himachal Pradesh,Dharamshala,Kotwali Bazaar,32.256,76.3238
68903949,7943,5,2,2,no,no,no,no,yes,2,yes,unfurnished,Karnataka,Bangalore,Electronic City,12.9799,77.6394
11562909,6164,5,2,3,yes,yes,yes,yes,no,1,yes,furnished,Uttarakhand,Haridwar,Jwalapur,29.9863,78.1483
2575091,1310,3,2,1,yes,no,yes,yes,yes,1,yes,semi-furnished,Tamil Nadu,Madurai,Villapuram,9.9574,78.1118
1344668,1414,2,2,1,no,yes,yes,no,yes,0,no,unfurnished,Himachal Pradesh,Manali,Old Manali,32.2303,77.2384
24917808,6388,5,2,1,yes,no,no,no,no,2,yes,unfurnished,Uttarakhand,Dehradun,Karanpur,30.3542,78.0739
4436286,2655,4,2,2,no,yes,no,yes,yes,1,no,furnished,Chhattisgarh,Raipur,Telibandha,21.2206,81.593
662230,917,2,3,1,yes,no,no,yes,yes,3,no,unfurnished,Uttar Pradesh,Noida,Sector 76,28.5726,77.4371
4639803,1256,2,3,1,no,yes,no,yes,yes,2,no,semi-furnished,Delhi,New Delhi,Vasant Kunj,28.6334,77.2408
14532976,2369,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished,Maharashtra,Mumbai,Juhu,19.0756,72.8455
4909215,2191,3,4,4,no,yes,no,no,yes,2,no,semi-furnished,Delhi,East Delhi,Preet Vihar,28.6881,77.2869
3039456,1257,2,2,2,yes,no,no,no,no,1,no,unfurnished,Maharashtra,Pune,Viman Nagar,18.5647,73.8304
5463921,2404,4,2,3,yes,yes,no,no,yes,1,no,unfurnished,Rajasthan,Udaipur,Sector 3,24.5453,73.7533
12639840,1954,3,2,2,yes,no,yes,yes,yes,2,no,unfurnished,Delhi,New Delhi,Pitampura,28.5652,77.17
3065444,1568,3,2,2,no,yes,no,yes,yes,2,yes,unfurnished,Chhattisgarh,Bhilai,Nehru Nagar,21.2123,81.4082
16434892,3547,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,Maharashtra,Mumbai,Powai,19.104,72.8384
6277154,2291,3,2,1,yes,yes,no,yes,no,1,yes,semi-furnished,Madhya Pradesh,Indore,Scheme 78,22.7372,75.8306
15771335,2634,4,1,1,no,no,no,yes,yes,2,yes,semi-furnished,Gujarat,Ahmedabad,Navrangpura,23.0395,72.5828
6752965,2470,3,2,2,yes,no,no,no,no,1,no,unfurnished,Telangana,Warangal,Subedari,17.9515,79.5528
11884920,2308,4,3,1,no,yes,yes,no,yes,3,yes,furnished,West Bengal,Kolkata,Ballygunge,22.5869,88.4016
1831549,1295,2,2,2,no,no,yes,no,yes,3,no,furnished,Uttarakhand,Haldwani,Kusumkhera,29.1908,79.4659
3702678,1221,2,2,2,yes,no,no,no,yes,3,no,semi-furnished,West Bengal,Kolkata,Salt Lake,22.544,88.3912
6207158,2472,3,3,3,yes,no,no,no,no,2,yes,furnished,Delhi,East Delhi,Laxmi Nagar,28.6952,77.2849
819082,1300,2,2,3,yes,no,no,no,yes,2,no,furnished,Rajasthan,Udaipur,Fateh Sagar,24.6205,73.7284
10237354,3893,4,1,1,yes,yes,no,no,yes,1,no,semi-furnished,Kerala,Trivandrum,Kowdiar,8.5292,76.9599
4322817,2334,3,2,1,no,yes,no,yes,no,2,no,furnished,Himachal Pradesh,Dharamshala,Kotwali Bazaar,32.2325,76.3624
10702231,3568,5,1,3,yes,no,no,no,yes,0,no,furnished,Punjab,Jalandhar,Civil Lines,31.3312,75.5617
20007184,3992,4,3,3,yes,yes,no,yes,yes,2,yes,semi-furnished,Rajasthan,Jaipur,C Scheme,26.8977,75.7516
2481723,976,2,3,1,yes,yes,no,no,no,2,no,unfurnished,Bihar,Patna,Boring Road,25.6081,85.1724
4936900,1561,3,3,2,no,yes,yes,no,yes,2,no,semi-furnished,Karnataka,Bangalore,HSR Layout,12.9342,77.586
7615143,2303,3,3,3,yes,no,no,yes,yes,3,no,unfurnished,Uttar Pradesh,Varanasi,Cantonment,25.3549,82.973
4628203,1914,3,2,3,no,no,yes,no,no,0,no,unfurnished,Uttar Pradesh,Agra,Sikandra,27.2073,78.014
4181204,2410,3,3,3,no,no,no,no,no,2,yes,semi-furnished,Odisha,Bhubaneswar,Jaydev Vihar,20.3322,85.8478
5989450,1625,3,2,4,yes,no,no,no,no,2,no,unfurnished,Delhi,New Delhi,Greater Kailash,28.6364,77.2121
7766368,2454,4,2,1,yes,no,no,no,yes,3,no,unfurnished,Kerala,Kozhikode,Westhill,11.2421,75.7391
5594899,1904,3,2,2,no,no,no,yes,no,2,no,unfurnished,Rajasthan,Jodhpur,Shastri Nagar,26.2828,73.0692
1853047,1010,2,2,2,no,no,yes,no,yes,2,no,unfurnished,Telangana,Warangal,Nakkalagutta,17.9531,79.5575
7542646,2544,4,2,3,no,no,no,no,yes,2,yes,furnished,Punjab,Chandigarh,Sector 17,30.7321,76.7573
33900779,6143,5,1,2,yes,no,no,no,yes,1,yes,semi-furnished,Jharkhand,Jamshedpur,Sakchi,22.7782,86.1546
2639086,1156,2,2,2,no,no,yes,no,no,3,no,semi-furnished,Jharkhand,Ranchi,Hinoo,23.3419,85.2674
2081602,1416,3,2,2,yes,no,no,yes,yes,1,no,unfurnished,Kerala,Trivandrum,Vellayambalam,8.5019,76.9192
5288823,925,2,2,1,yes,no,no,no,yes,1,no,semi-furnished,Delhi,New Delhi,Pitampura,28.6245,77.1956
4108387,2191,3,3,4,yes,no,no,yes,yes,2,yes,furnished,Jharkhand,Jamshedpur,Bistupur,22.8454,86.1791
2863619,1274,2,4,3,yes,no,no,no,yes,2,yes,unfurnished,Jammu & Kashmir,Srinagar,Gogji Bagh,34.1071,74.8307
4523351,1645,3,2,2,yes,yes,no,yes,yes,2,no,semi-furnished,West Bengal,Kolkata,New Town,22.5978,88.3538
1989452,1713,3,2,2,no,yes,no,no,yes,1,no,unfurnished,Jammu & Kashmir,Jammu,Residency Road,32.7384,74.8211
3116890,1250,3,2,1,no,yes,no,no,yes,1,yes,unfurnished,Tamil Nadu,Madurai,SS Colony,9.9311,78.1648
8052002,3558,4,2,2,yes,no,yes,no,yes,1,no,unfurnished,Telangana,Warangal,Nakkalagutta,17.9885,79.6286
3249208,2292,3,2,4,no,yes,yes,no,yes,0,no,semi-furnished,Chhattisgarh,Bilaspur,Rajiv Nagar,22.1079,82.1012
2387108,1419,3,2,1,yes,no,no,no,yes,2,yes,semi-furnished,Bihar,Bhagalpur,Purnea,25.2854,87.0252
2711984,1799,3,2,2,yes,yes,no,no,yes,2,yes,furnished,Andhra Pradesh,Guntur,Pattabhipuram,16.2782,80.4107
1562980,1635,3,4,2,yes,no,no,no,yes,2,yes,semi-furnished,Karnataka,Mysore,Vijayanagar,12.3133,76.6873
3577908,1368,3,1,2,yes,no,no,no,yes,1,no,semi-furnished,Chhattisgarh,Raipur,Shankar Nagar,21.2285,81.6604
1117428,1052,2,3,1,yes,no,no,no,yes,1,yes,unfurnished,Maharashtra,Nashik,Pathardi Phata,20.0455,73.7994
5337193,1691,3,2,3,yes,no,no,no,yes,1,no,furnished,Maharashtra,Thane,Majiwada,19.1911,72.9805
23571700,3433,4,2,4,yes,no,no,no,no,1,no,semi-furnished,Telangana,Hyderabad,Madhapur,17.3931,78.5008
10626977,3009,4,1,2,yes,yes,no,no,no,1,yes,semi-furnished,Maharashtra,Nashik,College Road,19.952,73.7687
1622392,1278,2,2,2,no,no,no,no,no,2,yes,furnished,Kerala,Trivandrum,Pattom,8.5488,76.9409
1393727,1167,2,4,3,no,no,no,yes,yes,0,no,unfurnished,Telangana,Nizamabad,Chandak Colony,18.7111,78.1433
8470535,2617,4,2,3,yes,yes,no,no,yes,1,yes,unfurnished,Bihar,Bhagalpur,Tilkamanjhi,25.2094,87.0288
1577861,829,2,1,4,yes,yes,no,no,no,1,yes,furnished,Kerala,Kochi,Kakkanad,9.9403,76.223
20348743,3202,4,3,2,no,no,no,no,no,1,no,semi-furnished,Rajasthan,Jaipur,Jagatpura,26.8856,75.7636
16608381,3724,4,2,1,yes,yes,no,yes,yes,2,yes,unfurnished,Punjab,Chandigarh,Sector 22,30.7516,76.8111
5562814,1506,3,2,3,no,no,no,yes,no,1,no,semi-furnished,Uttar Pradesh,Lucknow,Alambagh,26.8676,80.9585
7083577,2390,3,2,3,no,no,yes,yes,yes,1,no,semi-furnished,Karnataka,Hubli,Keshwapur,15.3174,75.1448
2282103,1191,2,2,1,yes,yes,no,yes,yes,3,yes,semi-furnished,Maharashtra,Nashik,Pathardi Phata,20.0141,73.7777
10312447,4333,5,2,3,yes,no,no,yes,yes,1,no,furnished,Karnataka,Mangalore,Kadri,12.8829,74.8866
1864531,1350,3,2,3,yes,no,no,yes,yes,1,yes,furnished,West Bengal,Siliguri,Hill Cart Road,26.7193,88.4379
968435,827,2,3,2,yes,no,no,no,no,2,yes,furnished,Punjab,Amritsar,Lawrence Road,31.5992,74.8681
5970842,2477,3,2,4,no,yes,no,yes,yes,2,no,unfurnished,Rajasthan,Jodhpur,Ratanada,26.2471,73.0452
7342287,2277,3,1,2,yes,yes,no,no,no,2,yes,furnished,Madhya Pradesh,Bhopal,Hoshangabad Road,23.2912,77.3777
3925085,1388,3,2,3,no,yes,no,no,yes,1,yes,semi-furnished,Tamil Nadu,Coimbatore,Gandhipuram,11.0648,76.9253
18045366,3675,4,3,4,no,no,no,no,yes,2,yes,semi-furnished,Maharashtra,Pune,Aundh,18.4834,73.8089
2131617,1454,3,2,3,no,no,no,yes,yes,2,no,semi-furnished,Telangana,Warangal,Hanamkonda,17.9504,79.5537
4132485,895,2,2,2,yes,no,no,no,yes,2,yes,furnished,Telangana,Hyderabad,Banjara Hills,17.4158,78.5072
2677416,1414,2,3,1,yes,no,no,yes,no,1,yes,semi-furnished,Punjab,Chandigarh,Sector 43,30.6979,76.8171
2450063,1268,3,1,3,yes,no,yes,yes,yes,1,no,unfurnished,Odisha,Cuttack,Buxi Bazaar,20.4808,85.8798
4612075,1580,3,3,3,yes,no,yes,no,yes,1,yes,unfurnished,Rajasthan,Jaipur,Jagatpura,26.952,75.7512
2125381,1662,3,2,2,no,yes,yes,no,yes,1,yes,furnished,Punjab,Ludhiana,Sarabha Nagar,30.8585,75.8229
5505570,1643,3,2,2,yes,no,no,yes,yes,1,yes,unfurnished,Andhra Pradesh,Vijayawada,Benz Circle,16.5105,80.6819
1866187,1443,2,2,2,yes,no,no,yes,yes,2,no,furnished,Andhra Pradesh,Vijayawada,MG Road,16.531,80.6723
2105152,1255,3,3,1,no,no,yes,no,yes,0,no,semi-furnished,Telangana,Warangal,Hanamkonda,18.0054,79.5759
9937209,2628,4,3,2,yes,no,no,no,yes,1,yes,furnished,Telangana,Hyderabad,Kondapur,17.357,78.4983
4685984,2039,3,3,2,no,no,no,no,no,2,yes,semi-furnished,Chhattisgarh,Bhilai,Sector 9,21.259,81.3714
3450435,1399,3,1,2,yes,yes,no,yes,no,2,no,semi-furnished,Uttar Pradesh,Varanasi,Sigra,25.3425,82.952
4698988,2177,4,3,2,yes,no,no,no,no,1,yes,unfurnished,Himachal Pradesh,Dharamshala,Dharamshala,32.2683,76.31
5507194,1701,3,1,3,yes,yes,no,yes,yes,1,no,semi-furnished,Telangana,Nizamabad,Chandak Colony,18.6886,78.0806
2108558,1496,3,2,4,yes,no,no,no,yes,3,yes,semi-furnished,Tamil Nadu,Trichy,Srirangam,10.8279,78.732
890440,839,2,1,3,no,no,no,no,yes,1,yes,furnished,Bihar,Patna,Boring Road,25.634,85.1351
2670339,1739,3,2,2,yes,no,no,yes,yes,1,yes,unfurnished,Gujarat,Vadodara,Alkapuri,22.3081,73.2111
3178215,1015,2,1,3,no,no,no,no,yes,1,yes,semi-furnished,Telangana,Hyderabad,Hitech City,17.4133,78.5183
19693959,4892,5,3,1,yes,no,no,yes,yes,1,yes,semi-furnished,Jammu & Kashmir,Srinagar,Jawahar Nagar,34.0342,74.8442
1578346,1806,3,3,2,no,no,no,yes,no,2,no,unfurnished,Gujarat,Rajkot,University Road,22.3317,70.81
1694221,884,2,3,2,yes,yes,no,no,yes,3,no,semi-furnished,Punjab,Chandigarh,Sector 43,30.6889,76.7959
